,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Ingredient name,PubChem CID,INCI name,INCI number,CAS Number,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Suitable for mature skin,Acne,Rosacea,Cystic Acne,Hyperpigmentation,Melasma,Xerosis,Dryness,Redness,Oiliness,Signs of Aging,Dark Spots,Sensitive skin,Dullness,Uneven skin tone,Wrinkles,Fine lines,Loss of Elasticity/firmness,Damaged skin,Visible pores,"Clogged pores, blackheads",Uneven texture,Eczema,Psoriasis,Dermatitis,Sunburned skin,Dark circles,Blemishes,Moisturizing,Nourishing,Hydrating,Exfoliating,Calming,Soothing,UV-barrier,Healing,Smoothing,Reduces acne,Reduces blemishes,Reduces wrinkles,Improves symptoms of eczema,Improves symptoms of psoriasis,Improves symptoms of dermatitis,Brightening,Improves skin tone,Reduces inflammation,Minimizes pores,Anti-aging,Firming,Detoxifying,Balancing,Reduces redness,Clarifying,Anti-bacterial,Stimulates collagen production,Reduces fine lines,Antioxidant Protection,Skin Barrier Protection,Teen,20s,30s,40s,50s,60+
Sweet Almond Oil,24822455,Prunus Amygdalus Dulcis (Sweet Almond) Oil,8007-69-0,8007-69-0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Almond Oil,24822455,Prunus Amygdalus Dulcis (Sweet Almond) Oil,8007-69-0,8007-69-0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Behenyl Alcohol,8221,Behenyl Alcohol,211-546-6,661-19-8,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butylene Glycol,6569,Butylene Glycol,203-529-7,107-88-0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,4,3,2,1,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Coco-Caprylate/Caprate,9837370,Coco-Caprylate/Caprate,304-875-3,95912-86-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Diglycerin,9861,Diglycerin,202-567-1,59113-36-9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Helianthus Annuus (Sunflower) Seed Oil,5281105,Helianthus Annuus (Sunflower) Seed Oil,287-896-9,8001-21-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Pentylene Glycol,12345,Pentylene Glycol,203-489-0,5343-92-0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Perilla Ocymoides Leaf/Stem Oil,9791546,Perilla Ocymoides Leaf/Stem Oil,N/A,90082-61-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Phytic Acid,5463,Phytic Acid,225-417-4,83-86-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Polyglyceryl-2 Stearate,15790,Polyglyceryl-2 Stearate,500-011-0,144470-58-6,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Propanediol Dicaprylate/Caprate,9795555,Propanediol Dicaprylate/Caprate,N/A,68956-68-3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Salix Alba (Willow) Bark Extract,5281751,Salix Alba (Willow) Bark Extract,N/A,84082-82-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,3,1,4,3,2,1,0,0,5,5,5,5,5,4,Yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Sodium Citrate,311,Sodium Citrate,200-675-3,68-04-2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sodium Stearoyl Lactylate,9865478,Sodium Stearoyl Lactylate,266-571-8,25383-99-7,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Stearyl Alcohol,68547,Stearyl Alcohol,204-017-6,112-92-5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Calendula (Calendula officinalis),5281243,Calendula (Calendula officinalis),N/A,84776-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Chamomile (Matricaria recutita),5281662,Chamomile (Matricaria recutita),N/A,84082-60-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cranberry Seed Oil,5280897,Cranberry Seed Oil,N/A,97926-56-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Frankincense Essential Oil,9847859,Frankincense Essential Oil,N/A,8016-36-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,4,3,2,1,0,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Yes,Yes,Yes
Helichrysum Essential Oil,9867798,Helichrysum Essential Oil,N/A,90045-56-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,4,3,2,1,0,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Marshmallow Root (Althaea officinalis),5282184,Marshmallow Root (Althaea officinalis),N/A,73049-65-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Red Raspberry Seed Oil,9902316,Red Raspberry Seed Oil,N/A,84929-76-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Rose Geranium Essential Oil,9797625,Rose Geranium Essential Oil,N/A,8000-46-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3,0,1,4,3,2,1,0,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,No
Safflower Oil,5282367,Safflower Oil,N/A,8001-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sea Buckthorn Oil,5282401,Sea Buckthorn Oil,N/A,90106-68-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,No
Ylang Ylang Essential Oil,8977133,Ylang Ylang Essential Oil,N/A,8006-81-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3,0,1,4,3,2,1,0,0,5,4,3,3,2,1,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,No,No,No
C10-18 Triglycerides,9902340,C10-18 Triglycerides,N/A,68956-68-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Ceramide NP,10543630,Ceramide NP,234-635-2,100403-19-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,0,3,5,5,5,4,3,2,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Dimethyl Isosorbide,6217,Dimethyl Isosorbide,216-052-7,5306-85-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,5,4,3,3,2,1,Yes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No
Glyceryl Behenate,9836271,Glyceryl Behenate,245-033-7,77538-19-3,Yes,Yes/No,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Helianthus Annuus (Sunflower) Seed Wax,10278516,Helianthus Annuus (Sunflower) Seed Wax,N/A,1286682-68-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Hydrogenated Farnesene,9955507,Hydrogenated Farnesene,N/A,106214-14-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Limnanthes Alba (Meadowfoam) Seed Oil,9806054,Limnanthes Alba (Meadowfoam) Seed Oil,N/A,153065-40-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Naringenin,439246,Naringenin,480-41-1,480-41-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Polyhydroxystearic Acid,9857559,Polyhydroxystearic Acid,N/A,27924-99-8,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Silica,24261,Silica,231-545-4,7631-86-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,3,1,5,4,3,2,1,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Simmondsia-Chinensis (Jojoba) Seed Oil,24666,Simmondsia-Chinensis (Jojoba) Seed Oil,289-964-3,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Stearyl Behenate,9835704,Stearyl Behenate,246-103-7,4167-51-5,Yes,Yes/No,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,5,4,3,3,2,1,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,No,No
Blue Chamomile Essential Oil,10089950,Blue Chamomile Essential Oil,N/A,8002-66-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,5,5,5,4,3,2,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cedar Wood Essential Oil,10118650,Cedar Wood Essential Oil,N/A,8000-27-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,0,3,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,No,No,No
Gotu kola (Centella asiatica),73434,Gotu kola (Centella asiatica),N/A,84696-21-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Yes,Yes,Yes
Helichrysum (Helichrysum italicum),10471170,Helichrysum (Helichrysum italicum),N/A,90045-56-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,5,4,3,2,1,0,5,5,4,4,3,2,Yes,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Pomegranate Oil,9924642,Pomegranate Oil,N/A,84961-57-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Rose Otto Essential Oil,10472936,Rose Otto Essential Oil,N/A,8007-01-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3,0,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Yes,Yes,Yes
Rosehip Oil,10472957,"Rosehip Oil, Rose hip oil, Rose hip seed oil",N/A,84603-93-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Rose hip oil,10472957,"Rosehip Oil, Rose hip oil, Rose hip seed oil",N/A,84603-93-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Rose hip seed oil,10472957,"Rosehip Oil, Rose hip oil, Rose hip seed oil",N/A,84603-93-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Aloe,131739,Aloe,207-953-8,8001-97-6,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,5,4,3,5,5,4,4,3,2,Yes,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Arnica,9888611,Arnica,293-656-8,68990-11-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,4,3,2,1,0,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
